pet_id,name,breed,dob,owner_id
1,Marcus,Siamese Cat,2024-09-28,102
2,Jessica,Golden Retriever,2012-02-13,34
3,John,Siamese Cat,2020-12-28,52
4,Julia,Siamese Cat,2023-06-29,120
5,Jody,German Shepherd,2021-04-25,49
6,Kathy,Maine Coon,2022-11-20,151
7,Melissa,Persian Cat,2014-06-11,158
8,Jonathan,Persian Cat,2020-05-09,112
9,Robin,Maine Coon,2017-03-09,154
10,Darlene,Golden Retriever,2019-01-08,29
11,Jeffrey,Maine Coon,2023-04-27,5
12,Amanda,Siamese Cat,2014-02-05,143
13,Taylor,Persian Cat,2024-11-17,118
14,Roberta,Maine Coon,2014-09-15,118
15,Megan,German Shepherd,2016-10-09,62
16,Kelsey,Bulldog,2015-08-23,147
17,Jacob,Golden Retriever,2017-07-19,159
18,Sharon,Shiba Inu,2015-07-30,38
19,Heather,Maine Coon,2014-04-22,1
20,Cody,Shiba Inu,2022-03-19,69
21,Scott,Shiba Inu,2023-03-26,84
22,Carolyn,Maine Coon,2022-05-21,149
23,Daniel,Golden Retriever,2015-11-03,189
24,Alicia,Bulldog,2012-04-01,34
25,Samantha,Beagle,2022-12-02,165
26,Carl,Shiba Inu,2013-08-28,132
27,Randy,Maine Coon,2020-11-01,98
28,Craig,Siamese Cat,2013-01-11,131
29,Kathleen,Siamese Cat,2011-06-01,96
30,Dawn,Maine Coon,2019-02-19,11
31,Jamie,Siamese Cat,2017-05-23,146
32,Dominique,Persian Cat,2020-02-25,72
33,Matthew,German Shepherd,2024-11-16,117
34,Amanda,Beagle,2013-10-28,55
35,James,Maine Coon,2014-11-02,152
36,Sarah,German Shepherd,2015-10-18,123
37,Kelly,Beagle,2010-12-15,15
38,Donald,Beagle,2018-01-30,22
39,Claire,Shiba Inu,2017-10-26,63
40,Brandon,Bulldog,2023-06-14,98
41,Megan,Beagle,2022-08-01,17
42,Nathan,Persian Cat,2012-07-01,61
43,Erin,Beagle,2016-03-19,28
44,Bruce,Golden Retriever,2019-04-22,33
45,Trevor,Shiba Inu,2021-12-02,137
46,James,Siamese Cat,2015-04-30,91
47,David,Golden Retriever,2021-06-16,114
48,Brittney,Maine Coon,2025-04-28,157
49,Travis,Bulldog,2011-01-02,125
50,Erik,Siamese Cat,2021-07-11,39
51,Lisa,Golden Retriever,2012-11-09,109
52,Edward,Maine Coon,2012-01-23,90
53,George,Siamese Cat,2012-08-14,31
54,Catherine,Maine Coon,2014-03-28,27
55,Christy,German Shepherd,2024-05-12,30
56,Martin,German Shepherd,2012-05-13,168
57,Jason,Maine Coon,2012-12-19,172
58,Nina,Persian Cat,2018-01-13,27
59,Robert,Siamese Cat,2013-08-22,182
60,Lisa,Maine Coon,2021-04-27,73
61,Brenda,Persian Cat,2014-01-22,92
62,Brian,Persian Cat,2020-09-04,150
63,Richard,Bulldog,2017-03-06,200
64,Eric,Bulldog,2011-07-29,159
65,James,Siamese Cat,2017-03-04,162
66,Ashley,German Shepherd,2015-05-18,68
67,James,Bulldog,2020-09-24,59
68,Hannah,Maine Coon,2014-03-17,136
69,Walter,Bulldog,2016-03-04,197
70,Kathleen,Persian Cat,2013-08-06,164
71,Robert,German Shepherd,2012-02-26,196
72,Keith,Persian Cat,2020-09-26,20
73,Melanie,German Shepherd,2013-01-15,31
74,Jennifer,Beagle,2017-10-26,80
75,Margaret,German Shepherd,2013-05-23,129
76,Kyle,Beagle,2019-09-20,86
77,John,German Shepherd,2020-10-07,66
78,Teresa,Bulldog,2017-06-02,197
79,Sarah,Maine Coon,2017-01-26,19
80,Mary,Maine Coon,2014-04-12,76
